index,producer->batch_size,producer->linger_ms,producer->compression_type,producer->topics,consumer->fetch_wait_max_ms
1860,154581,31,snappy,4,448
1861,146649,86,snappy,8,472
1862,98924,50,snappy,5,26
1863,135271,93,None,7,129
1864,42153,25,lz4,4,288
1865,202681,72,lz4,7,378
1866,236488,8,None,2,195
1867,26271,32,None,6,420
1868,40019,7,snappy,10,392
1869,228438,21,None,2,396
1870,195896,71,snappy,5,94
1871,208710,30,gzip,4,50
1872,230100,6,None,4,51
1873,226696,11,gzip,4,376
1874,252656,77,gzip,9,2
1875,176554,37,gzip,9,246
1876,144785,17,None,4,108
1877,134135,22,snappy,8,339
1878,217329,99,snappy,5,86
1879,176069,30,gzip,10,142
1880,221015,45,gzip,9,113
1881,245561,88,None,6,393
1882,66863,49,gzip,4,460
1883,121153,87,gzip,9,376
1884,100150,54,gzip,5,441
1885,47145,4,None,8,464
1886,193448,30,lz4,5,417
1887,116620,17,None,5,61
1888,41800,81,lz4,3,166
1889,16491,22,gzip,8,12
1890,163541,41,None,1,162
1891,89494,29,lz4,2,409
1892,103621,29,gzip,7,95
1893,171529,4,lz4,9,473
1894,243816,2,lz4,6,149
1895,107185,71,None,6,243
1896,160424,94,gzip,8,38
1897,55285,12,gzip,1,24
1898,108561,66,lz4,1,455
1899,238673,12,gzip,6,78
1900,98277,65,lz4,10,484
1901,91595,80,None,5,475
1902,129290,37,lz4,8,110
1903,15783,33,None,8,58
1904,137687,87,snappy,2,415
1905,188120,45,lz4,3,87
1906,157602,29,gzip,9,312
1907,139854,58,snappy,8,334
1908,168571,26,snappy,5,99
1909,45186,19,gzip,2,179
1910,43792,25,None,1,243
1911,93930,45,gzip,10,117
1912,52548,17,snappy,9,460
1913,252383,11,gzip,10,278
1914,194010,23,lz4,9,104
1915,206598,97,lz4,9,3
1916,76603,10,None,5,4
1917,239642,100,snappy,1,235
1918,66987,43,None,1,105
1919,159349,62,snappy,10,216
1920,117621,82,gzip,1,477
1921,208403,56,None,7,132
1922,195248,81,gzip,3,144
1923,171056,16,None,8,307
1924,237965,57,lz4,8,280
1925,32718,15,None,4,383
1926,174002,82,gzip,4,114
1927,111556,96,snappy,8,323
1928,45214,29,lz4,10,243
1929,106836,23,lz4,8,442
1930,226998,86,snappy,10,220
1931,137876,70,gzip,8,428
1932,117175,96,snappy,2,242
1933,235397,1,gzip,2,357
1934,122032,84,None,2,406
1935,117525,98,snappy,3,301
1936,70978,14,gzip,10,248
1937,232625,38,None,4,415
1938,15070,96,lz4,8,308
1939,225524,17,snappy,9,56
1940,229130,43,None,5,375
1941,11139,84,snappy,4,294
1942,125499,91,gzip,7,233
1943,247560,32,gzip,2,490
1944,89599,39,snappy,8,208
1945,229800,27,lz4,8,135
1946,253094,82,gzip,6,204
1947,118883,75,None,8,100
1948,228122,48,gzip,6,135
1949,173541,40,snappy,7,42
1950,42794,79,lz4,8,232
1951,184707,75,lz4,6,484
1952,15681,11,lz4,1,349
1953,223633,98,None,3,269
1954,237252,31,snappy,8,473
1955,202120,98,None,4,148
1956,38173,46,snappy,2,309
1957,87613,95,snappy,1,36
1958,204948,5,snappy,7,133
1959,20482,47,None,7,376
1960,104235,40,None,4,176
1961,148108,95,None,1,326
1962,78935,37,lz4,4,367
1963,240809,57,None,6,165
1964,164270,70,gzip,5,100
1965,150523,58,lz4,2,303
1966,57224,85,snappy,10,168
1967,142754,16,None,3,37
1968,71544,25,None,10,35
1969,219741,11,gzip,1,38
1970,50417,58,gzip,8,415
1971,217229,13,None,3,434
1972,74366,31,snappy,2,178
1973,72061,79,lz4,10,452
1974,219975,42,lz4,7,34
1975,117396,12,lz4,8,41
1976,219223,85,lz4,2,294
1977,19410,90,lz4,9,237
1978,90177,44,gzip,4,236
1979,245379,64,snappy,5,97
1980,108782,57,lz4,3,18
1981,65671,51,lz4,5,119
1982,239166,72,None,7,282
1983,68035,85,snappy,3,117
1984,79422,23,None,2,50
1985,125646,55,gzip,1,396
1986,133019,59,gzip,10,461
1987,244488,51,gzip,7,216
1988,203957,26,lz4,9,8
1989,77528,99,None,9,218
1990,222224,87,snappy,3,16
1991,72101,54,lz4,1,181
1992,131665,55,gzip,10,254
1993,260370,91,snappy,6,18
1994,228596,88,lz4,10,463
1995,9665,77,gzip,10,165
1996,40561,82,gzip,1,327
1997,238296,33,None,4,275
1998,180375,14,gzip,8,39
1999,120815,7,gzip,10,242
2000,122685,26,lz4,9,494
2001,211886,13,lz4,9,257
2002,41783,5,None,9,146
2003,231534,1,snappy,5,379
2004,169500,39,gzip,4,81
2005,120791,100,snappy,1,91
2006,199072,32,gzip,7,430
2007,213932,64,lz4,5,111
2008,231121,3,None,4,161
2009,25399,1,snappy,4,304
2010,46099,15,snappy,3,43
2011,81410,48,snappy,6,93
2012,212508,67,snappy,6,216
2013,142355,17,snappy,5,207
2014,58872,92,None,10,51
2015,40395,21,snappy,1,128
2016,10031,75,gzip,5,448
2017,149021,41,None,4,342
2018,237128,56,gzip,7,300
2019,13495,55,None,3,118
2020,70148,1,None,3,262
2021,52726,93,snappy,1,380
2022,229355,58,None,1,121
2023,11230,86,lz4,8,482
2024,98969,87,gzip,10,53
2025,231205,100,gzip,3,131
2026,195311,29,None,5,98
2027,98428,80,gzip,3,284
2028,175908,39,snappy,10,265
2029,243925,16,lz4,8,332
2030,22903,32,snappy,10,96
2031,115444,83,gzip,5,236
2032,158856,16,None,4,416
2033,100370,3,lz4,2,95
2034,46978,10,None,1,225
2035,220608,18,gzip,5,193
2036,62500,92,None,10,57
2037,139410,80,None,10,192
2038,99038,85,None,4,196
2039,51706,83,gzip,7,173
2040,153331,17,snappy,6,382
2041,154307,10,lz4,9,109
2042,33248,90,lz4,2,371
2043,128957,28,gzip,4,442
2044,21213,40,snappy,1,400
2045,75600,35,snappy,1,336
2046,174569,61,lz4,4,167
2047,171371,87,gzip,4,317
2048,42498,7,None,1,234
2049,35308,72,lz4,1,348
2050,184113,84,lz4,9,479
2051,120661,71,snappy,10,282
2052,162243,94,None,1,209
2053,257328,46,lz4,5,50
2054,140894,11,lz4,10,369
2055,231453,32,None,7,266
2056,250928,13,snappy,1,205
2057,101228,17,lz4,7,380
2058,61641,36,None,5,304
2059,242028,10,gzip,7,109
2060,228040,76,None,5,246
2061,100964,78,None,2,389
2062,44053,60,snappy,2,319
2063,180798,23,gzip,5,493
2064,173620,64,gzip,1,55
2065,251387,36,lz4,3,113
2066,256795,48,lz4,7,16
2067,198858,67,None,2,446
2068,21531,80,None,1,283
2069,182676,18,gzip,8,145
2070,189672,51,snappy,1,322
2071,124271,28,snappy,3,183
2072,204789,65,None,3,368
2073,57934,80,lz4,6,270
2074,189945,78,lz4,4,419
2075,44580,87,lz4,5,347
2076,44732,95,None,4,111
2077,232396,67,gzip,6,292
2078,99728,68,None,4,265
2079,224021,66,snappy,6,156
2080,157202,23,lz4,7,70
2081,143437,92,lz4,5,215
2082,47871,19,lz4,5,236
2083,157130,73,snappy,10,402
2084,5022,66,snappy,4,274
2085,64204,4,None,5,330
2086,210926,15,gzip,6,37
2087,177034,87,lz4,6,187
2088,12013,29,gzip,6,350
2089,143161,91,snappy,5,204
2090,185351,89,None,4,108
2091,72181,48,None,8,256
2092,75062,68,snappy,4,26
2093,11428,53,gzip,6,436
2094,186847,84,None,5,23
2095,252843,60,snappy,6,128
2096,19984,53,None,3,228
2097,205456,38,None,4,321
2098,93056,55,None,1,245
2099,228821,84,lz4,1,371
2100,220906,86,lz4,1,141
2101,122988,78,gzip,9,20
2102,85644,55,gzip,5,480
2103,133535,61,lz4,1,140
2104,90190,3,None,5,170
2105,205317,42,None,3,463
2106,123104,39,None,3,465
2107,4635,17,None,2,319
2108,251148,40,lz4,8,14
2109,118632,65,snappy,9,436
2110,39960,69,gzip,5,120
2111,250922,52,lz4,3,445
2112,109115,4,gzip,3,246
2113,25590,1,gzip,7,292
2114,126295,18,None,10,86
2115,136459,40,lz4,3,151
2116,253931,15,lz4,8,490
2117,48511,3,lz4,2,269
2118,187118,47,lz4,3,426
2119,163099,55,snappy,2,107
2120,158881,61,gzip,8,37
2121,55035,46,snappy,2,267
2122,87252,23,None,3,357
2123,159246,7,None,10,114
2124,49326,37,None,8,192
2125,19680,76,gzip,9,288
2126,228432,1,gzip,8,114
2127,187001,65,gzip,3,240
2128,105601,29,lz4,3,30
2129,32874,2,gzip,3,241
2130,150239,99,lz4,6,90
2131,173183,42,gzip,6,261
2132,112485,42,None,8,328
2133,125838,12,snappy,4,422
2134,165336,6,snappy,1,491
2135,69591,20,None,10,281
2136,232770,93,None,5,312
2137,39802,76,lz4,10,281
2138,62127,18,None,5,191
2139,97581,31,gzip,1,223
2140,168392,98,lz4,6,297
2141,29400,24,gzip,9,276
2142,182646,47,snappy,10,259
2143,250751,55,lz4,2,169
2144,53818,94,snappy,2,495
2145,268,49,lz4,2,452
2146,143367,25,snappy,6,481
2147,74040,53,gzip,5,238
2148,226619,16,gzip,6,430
2149,194427,68,snappy,5,100
2150,234955,3,None,7,189
2151,29890,76,None,8,475
2152,194375,26,snappy,6,427
2153,46203,9,lz4,4,296
2154,25199,50,None,7,241
2155,159665,56,None,10,72
2156,203135,81,lz4,8,321
2157,191482,95,gzip,8,279
2158,188635,67,gzip,3,273
2159,198248,75,gzip,10,203
2160,182413,94,None,3,267
2161,207585,77,None,3,466
2162,24366,21,gzip,10,464
2163,75500,75,snappy,4,90
2164,26809,51,lz4,2,253
2165,139802,2,gzip,8,256
2166,12874,87,gzip,9,388
2167,84556,92,None,3,188
2168,233891,39,lz4,9,255
2169,793,60,None,9,100
2170,85916,74,lz4,9,119
2171,226816,68,snappy,1,103
2172,200546,43,snappy,1,461
2173,4972,10,None,3,327
2174,222373,24,None,6,115
2175,105516,24,gzip,3,193
2176,123172,43,gzip,6,394
2177,104569,96,snappy,8,363
2178,82602,45,None,6,367
2179,188418,89,lz4,1,81
2180,111251,6,lz4,9,402
2181,132269,68,snappy,8,258
2182,20741,94,lz4,3,458
2183,129012,8,lz4,2,95
2184,58196,45,lz4,9,108
2185,165299,88,None,3,240
2186,94129,83,None,5,35
2187,77266,100,lz4,2,436
2188,67945,90,lz4,6,455
2189,58389,40,snappy,5,410
2190,252648,24,None,8,343
2191,139761,55,snappy,2,225
2192,101366,77,lz4,7,156
2193,34037,32,gzip,3,434
2194,246113,99,None,9,244
2195,22108,73,snappy,9,62
2196,49930,2,gzip,4,173
2197,32855,28,lz4,2,314
2198,185560,1,gzip,7,185
2199,247079,42,None,8,413
2200,27187,37,None,8,388
2201,127641,87,gzip,9,19
2202,136627,72,lz4,2,117
2203,58731,15,gzip,10,361
2204,84915,31,snappy,10,266
2205,259125,26,gzip,10,106
2206,9302,72,None,6,138
2207,102580,59,None,8,293
2208,101575,67,None,10,56
2209,11098,42,gzip,2,278
2210,224991,89,gzip,4,498
2211,6385,19,lz4,6,197
2212,174892,5,None,6,298
2213,50086,27,snappy,3,341
2214,152265,22,gzip,7,379
2215,77462,75,lz4,4,187
2216,66942,7,snappy,4,156
2217,28169,70,lz4,3,436
2218,157769,8,lz4,4,36
2219,132385,54,lz4,7,360
2220,67601,87,gzip,4,287
2221,256244,86,lz4,1,470
2222,106899,32,gzip,8,98
2223,50583,12,snappy,2,339
2224,99614,40,snappy,7,318
2225,86677,96,lz4,6,190
2226,114756,35,snappy,5,377
2227,76332,46,lz4,3,312
2228,156015,10,snappy,4,249
2229,101464,32,snappy,1,420
2230,95743,92,snappy,5,77
2231,147459,4,snappy,5,155
2232,195655,2,gzip,6,245
2233,191271,58,None,4,455
2234,36739,47,None,7,79
2235,247606,19,lz4,9,284
2236,132676,93,snappy,9,309
2237,16899,71,snappy,10,258
2238,65080,71,gzip,2,372
2239,83373,46,lz4,3,413
2240,163747,30,snappy,7,115
2241,247254,93,lz4,5,476
2242,167993,28,None,7,426
2243,191661,9,snappy,8,391
2244,157883,85,snappy,1,212
2245,261004,16,None,3,445
2246,240236,64,snappy,9,445
2247,141204,41,gzip,7,309
2248,161985,9,None,4,212
2249,203829,70,snappy,4,442
2250,118289,64,gzip,3,122
2251,62811,57,None,1,439
2252,53161,24,snappy,1,384
2253,131402,18,gzip,8,209
2254,259091,88,gzip,8,92
2255,86105,79,snappy,10,165
2256,214434,9,gzip,5,80
2257,99173,87,gzip,2,239
2258,1838,30,lz4,7,46
2259,6453,79,None,4,164
2260,99891,59,gzip,10,235
2261,235192,70,None,10,33
2262,100792,33,gzip,6,407
2263,252773,39,snappy,2,85
2264,250330,31,lz4,3,349
2265,69785,100,None,10,478
2266,192566,32,gzip,7,454
2267,1021,71,lz4,4,261
2268,70396,68,snappy,2,225
2269,212814,61,snappy,8,180
2270,137777,2,gzip,6,174
2271,158594,74,gzip,6,178
2272,74743,30,None,4,226
2273,92451,7,snappy,3,56
2274,198634,4,gzip,7,272
2275,172180,87,None,7,275
2276,258108,98,snappy,9,208
2277,177708,89,None,4,124
2278,162099,43,gzip,10,194
2279,28039,8,lz4,9,192
2280,180587,92,gzip,7,236
2281,191451,79,None,9,99
2282,181298,24,None,6,144
2283,18613,90,lz4,3,310
2284,192931,54,lz4,10,196
2285,48776,68,None,6,493
2286,191703,82,gzip,9,359
2287,42882,55,lz4,7,462
2288,143607,38,snappy,2,204
2289,45115,91,lz4,8,331
2290,208771,7,None,5,181
2291,155960,80,None,4,189
2292,110349,57,None,2,477
2293,71872,77,lz4,10,365
2294,18275,43,lz4,6,73
2295,7650,15,lz4,1,199
2296,78719,55,None,7,47
2297,176493,77,gzip,1,99
2298,11800,16,None,9,299
2299,200718,57,lz4,6,59
2300,130595,40,snappy,7,141
2301,49508,83,snappy,4,471
2302,135142,43,gzip,4,30
2303,169177,50,gzip,7,380
2304,105457,72,lz4,6,47
2305,166684,83,snappy,6,407
2306,187788,29,None,10,68
2307,206710,56,None,5,344
2308,59637,36,snappy,6,193
2309,250060,33,lz4,8,64
2310,9777,36,gzip,9,443
2311,116247,37,gzip,7,463
2312,15379,61,gzip,9,409
2313,240013,17,snappy,1,122
2314,48245,50,lz4,5,253
2315,3278,52,snappy,3,255
2316,97523,54,lz4,8,292
2317,108161,85,None,10,379
2318,56967,54,snappy,2,5
2319,124338,90,gzip,2,202
2320,174170,6,None,8,242
2321,159570,65,lz4,8,384
2322,70441,39,gzip,7,317
2323,130715,11,snappy,5,231
2324,35971,70,snappy,9,374
2325,226335,71,gzip,10,248
2326,43620,26,gzip,8,264
2327,178379,9,gzip,9,387
2328,257933,51,None,5,381
2329,146920,24,snappy,4,50
2330,166826,34,lz4,2,123
2331,114824,11,gzip,5,447
2332,257276,62,None,6,269
2333,73516,69,None,3,14
2334,246712,46,gzip,10,445
2335,138154,80,None,1,457
2336,250714,49,snappy,4,311
2337,176172,52,gzip,2,174
2338,8735,24,None,5,256
2339,189462,32,lz4,4,363
2340,229191,10,snappy,1,307
2341,132620,14,gzip,3,317
2342,178030,27,snappy,8,364
2343,22381,28,None,6,81
2344,70842,83,None,1,198
2345,163727,81,None,2,84
2346,214443,12,lz4,4,172
2347,109005,38,lz4,8,428
2348,167299,46,None,1,229
2349,108476,77,None,9,488
2350,183310,74,snappy,5,415
2351,67456,19,lz4,3,234
2352,138015,10,None,10,294
2353,146734,45,gzip,8,139
2354,70324,92,lz4,1,496
2355,205848,38,gzip,3,39
2356,139160,20,lz4,4,182
2357,62068,21,lz4,9,286
2358,211968,62,gzip,1,424
2359,234634,83,gzip,4,354
2360,255513,74,lz4,5,44
2361,135681,9,snappy,8,405
2362,123934,39,None,2,485
2363,54028,6,gzip,7,337
2364,119731,34,None,2,342
2365,229961,97,lz4,4,292
2366,79496,19,lz4,5,17
2367,114601,33,lz4,9,306
2368,252271,4,snappy,4,236
2369,163027,23,None,4,244
2370,65874,71,snappy,2,271
2371,229535,79,snappy,6,300
2372,243738,90,gzip,3,125
2373,184715,86,lz4,3,54
2374,142970,91,lz4,6,413
2375,174765,98,snappy,9,272
2376,40527,62,None,10,201
2377,162435,40,None,9,213
2378,218932,24,lz4,8,102
2379,196268,2,None,3,34
2380,190785,53,None,3,154
2381,37391,75,lz4,3,435
2382,147496,37,lz4,1,354
2383,207109,63,gzip,6,444
2384,259710,11,snappy,9,337
2385,47548,63,gzip,6,120
2386,2362,31,gzip,6,151
2387,175176,76,lz4,3,44
2388,107717,11,snappy,2,380
2389,90572,42,gzip,2,433
2390,211223,69,gzip,1,450
2391,52626,67,snappy,7,37
2392,155641,80,gzip,9,168
2393,24947,24,gzip,9,443
2394,217054,52,lz4,7,46
2395,152690,58,lz4,9,134
2396,33964,17,None,10,67
2397,57452,33,snappy,10,274
2398,182037,84,None,8,147
2399,2799,65,None,2,336
2400,12680,18,snappy,1,297
2401,108592,48,gzip,10,327
2402,83076,10,lz4,8,104
2403,248525,43,None,5,247
2404,225366,67,lz4,6,223
2405,83458,87,gzip,7,367
2406,131373,61,snappy,2,370
2407,18851,86,snappy,8,246
2408,49247,39,gzip,4,127
2409,181987,94,None,4,300
2410,110997,25,gzip,3,200
2411,244430,33,lz4,9,262
2412,94983,89,None,5,325
2413,142285,57,lz4,8,482
2414,154878,31,gzip,4,63
2415,167857,60,None,1,355
2416,200691,3,None,9,140
2417,118395,51,lz4,10,424
2418,162719,31,gzip,6,304
2419,20561,14,snappy,3,238
2420,147774,52,snappy,2,369
2421,79639,50,None,5,320
2422,152461,67,snappy,8,495
2423,213999,43,lz4,3,64
2424,34253,25,lz4,10,469
2425,53087,36,lz4,2,262
2426,57575,37,None,9,25
2427,91087,31,gzip,8,403
2428,9612,98,lz4,4,49
2429,110884,65,gzip,10,297
2430,139086,96,snappy,7,272
2431,2605,9,snappy,9,249
2432,135813,13,None,4,415
2433,87301,71,lz4,7,246
2434,33193,83,lz4,2,316
2435,243176,28,lz4,8,41
2436,45485,34,gzip,3,412
2437,14122,40,lz4,7,29
2438,192775,47,gzip,3,310
2439,192801,6,snappy,1,132
2440,219536,4,lz4,1,186
2441,161678,75,lz4,7,91
2442,186550,100,snappy,4,331
2443,200463,48,gzip,6,79
2444,54563,100,gzip,9,226
2445,12175,89,None,9,206
2446,195100,62,gzip,1,357
2447,230034,70,gzip,5,474
2448,56503,60,snappy,4,490
2449,93821,1,gzip,7,284
2450,109480,98,None,1,15
2451,223756,56,gzip,5,286
2452,233803,14,lz4,9,48
2453,4037,7,gzip,4,35
2454,187724,82,snappy,3,51
2455,214897,78,lz4,3,394
2456,58112,26,gzip,4,272
2457,241737,23,gzip,5,278
2458,78351,22,gzip,3,64
2459,204251,9,None,7,43
2460,247985,97,None,5,355
2461,206386,41,lz4,6,222
2462,88370,54,None,7,190
2463,134569,64,None,2,200
2464,51213,33,snappy,5,399
2465,69268,86,snappy,6,101
2466,193067,3,gzip,6,101
2467,119864,9,None,6,346
2468,144112,17,None,10,124
2469,155354,2,snappy,9,356
2470,198683,74,gzip,9,99
2471,62314,72,gzip,6,362
2472,210756,31,None,1,474
2473,99124,39,lz4,3,89
2474,42525,31,lz4,2,387
2475,45041,49,gzip,8,230
2476,116866,60,lz4,6,122
2477,214154,48,snappy,10,211
2478,132561,72,gzip,8,182
2479,151147,80,lz4,2,36
2480,249933,6,snappy,9,431
2481,125417,98,gzip,7,322
2482,89087,80,lz4,4,488
2483,18114,100,None,8,445
2484,108735,10,snappy,7,434
2485,166650,87,None,9,242
2486,12261,9,snappy,9,155
2487,30218,4,None,10,233
2488,54684,52,snappy,9,352
2489,69649,88,gzip,4,431
2490,232663,26,snappy,3,281
2491,85474,92,lz4,3,285
2492,181128,35,gzip,4,305
2493,104370,27,None,3,101
2494,257773,75,lz4,10,90
2495,206807,51,None,8,330
2496,150090,76,gzip,8,116
2497,15840,77,snappy,10,230
2498,195752,61,snappy,6,331
2499,65372,60,lz4,10,66
2500,77861,16,snappy,8,65
2501,210786,1,gzip,8,375
2502,206658,6,gzip,8,255
2503,50857,2,lz4,10,358
2504,235838,32,gzip,7,94
2505,23948,37,lz4,2,397
2506,31935,28,None,10,160
2507,109561,83,snappy,6,299
2508,222187,70,lz4,10,223
2509,164100,82,None,3,159
2510,159742,16,snappy,2,284
2511,109456,47,gzip,6,117
2512,53747,11,lz4,4,79
2513,176662,44,snappy,6,49
2514,194955,17,None,7,297
2515,5471,62,lz4,7,326
2516,25570,9,None,9,44
2517,128363,88,None,5,121
2518,88404,2,lz4,9,350
2519,58204,44,snappy,10,16
2520,133720,71,None,6,136
2521,101741,67,gzip,7,72
2522,185016,87,None,8,249
2523,68131,10,snappy,9,229
2524,167193,57,None,6,298
2525,89727,34,snappy,1,33
2526,43353,90,lz4,3,38
2527,242805,44,gzip,5,135
2528,223946,67,snappy,8,15
2529,151004,18,None,1,485
2530,10088,96,gzip,9,316
2531,559,10,snappy,7,381
2532,86558,32,lz4,2,241
2533,178448,59,lz4,5,19
2534,95146,73,snappy,5,479
2535,189705,27,None,2,146
2536,219042,62,lz4,1,127
2537,135477,45,gzip,8,492
2538,169084,75,snappy,5,323
2539,112119,38,lz4,6,175
2540,113126,68,lz4,7,416
2541,151536,5,gzip,8,473
2542,4806,32,lz4,4,141
2543,66177,83,None,5,287
2544,125256,54,None,7,368
2545,94710,83,lz4,6,332
2546,122774,52,None,10,352
2547,237207,77,None,9,196
2548,250636,36,None,3,222
2549,212747,20,gzip,7,367
2550,221756,21,lz4,4,489
2551,206090,1,lz4,3,435
2552,13083,65,None,2,325
2553,235997,74,None,7,149
2554,20994,80,lz4,1,95
2555,215928,79,None,3,139
2556,178844,48,snappy,4,402
2557,172613,23,None,3,462
2558,245141,57,lz4,1,132
2559,255617,61,lz4,4,247
2560,252162,22,None,9,223
2561,179637,58,lz4,8,218
2562,202606,41,lz4,10,208
2563,255131,76,gzip,4,38
2564,39010,3,None,8,490
2565,178575,79,gzip,10,268
2566,29546,56,snappy,7,449
2567,107160,95,None,9,65
2568,2449,15,lz4,5,19
2569,251237,30,gzip,10,456
2570,247390,32,gzip,9,138
2571,237158,89,snappy,1,428
2572,256596,81,gzip,7,341
2573,89243,4,lz4,6,43
2574,231648,59,None,9,109
2575,13909,42,snappy,10,450
2576,8019,58,gzip,4,133
2577,258708,28,lz4,9,449
2578,130917,89,gzip,8,43
2579,115239,59,snappy,3,168
2580,251285,80,snappy,9,368
2581,115932,72,None,9,418
2582,114085,63,snappy,2,75
2583,101682,73,gzip,1,430
2584,164252,1,lz4,4,15
2585,108170,94,lz4,9,480
2586,48965,56,None,4,270
2587,185161,91,lz4,5,391
2588,219805,73,lz4,10,446
2589,77226,64,gzip,10,437
2590,172938,68,None,2,388
2591,216812,92,None,3,62
2592,156742,42,gzip,10,241
2593,6551,76,gzip,10,24
2594,160035,63,lz4,7,180
2595,102445,48,gzip,4,206
2596,64712,11,gzip,10,235
2597,180731,19,None,5,41
2598,3521,23,None,6,447
2599,241285,78,lz4,1,437
2600,157054,11,gzip,10,379
2601,217076,49,gzip,5,446
2602,11864,20,gzip,5,260
2603,110152,27,snappy,7,374
2604,228176,18,gzip,3,285
2605,191189,25,lz4,7,156
2606,183039,64,lz4,6,154
2607,36313,41,snappy,1,247
2608,146195,90,gzip,2,192
2609,91011,14,lz4,7,69
2610,199727,17,lz4,3,478
2611,230394,19,lz4,6,421
2612,126735,26,gzip,4,338
2613,240470,50,snappy,5,391
2614,173675,87,lz4,8,135
2615,88682,22,snappy,6,7
2616,208275,55,None,10,291
2617,108063,57,lz4,9,484
2618,71005,54,snappy,8,44
2619,100471,39,gzip,7,253
2620,134263,41,None,3,220
2621,235539,74,snappy,9,219
2622,197112,50,None,8,431
2623,45837,26,snappy,7,46
2624,223552,93,None,1,7
2625,255338,78,gzip,6,187
2626,11462,12,lz4,1,334
2627,143598,25,None,10,476
2628,202278,74,snappy,5,496
2629,128754,4,snappy,1,296
2630,157352,52,snappy,6,403
2631,5208,1,None,4,428
2632,171407,70,snappy,10,64
2633,10523,18,lz4,3,352
2634,24321,69,snappy,5,23
2635,4736,91,snappy,3,479
2636,211717,40,None,5,78
2637,127287,15,snappy,5,259
2638,249067,97,None,5,125
2639,58559,17,gzip,10,191
2640,178675,75,gzip,4,273
2641,172985,75,snappy,5,446
2642,89798,30,gzip,3,319
2643,8587,51,lz4,3,386
2644,14012,60,None,10,398
2645,54165,41,snappy,9,351
2646,165224,53,None,5,183
2647,149507,56,lz4,9,424
2648,148285,88,lz4,4,221
2649,24171,13,None,9,486
2650,239788,42,gzip,8,12
2651,93324,60,gzip,9,210
2652,28223,84,None,3,383
2653,196527,75,snappy,1,158
2654,9161,54,None,4,13
2655,104399,32,snappy,9,129
2656,229051,7,None,9,405
2657,163199,46,gzip,6,97
2658,113956,82,snappy,3,120
2659,19106,35,snappy,2,368
2660,53250,63,snappy,1,445
2661,31321,85,snappy,10,112
2662,10270,33,None,6,61
2663,182950,95,lz4,1,75
2664,74172,92,lz4,8,212
2665,49084,87,None,1,112
2666,235959,100,gzip,7,116
2667,129963,53,lz4,7,25
2668,131454,95,lz4,4,82
2669,112669,8,snappy,7,492
2670,34223,24,None,8,266
2671,179542,89,gzip,5,21
2672,1178,48,snappy,1,77
2673,75126,81,gzip,10,453
2674,220313,27,snappy,9,355
2675,9372,98,gzip,2,434
2676,43941,97,None,5,113
2677,242377,84,lz4,7,174
2678,178952,8,None,4,319
2679,190594,72,snappy,10,249
2680,97897,96,gzip,7,409
2681,73691,59,gzip,1,227
2682,251858,54,gzip,2,82
2683,217528,83,snappy,3,408
2684,222313,99,None,1,405
2685,123876,76,gzip,6,441
2686,110964,77,snappy,1,357
2687,117350,34,lz4,8,59
2688,164391,39,gzip,8,318
2689,237491,51,snappy,10,76
2690,3844,100,gzip,10,404
2691,56540,62,snappy,7,162
2692,72678,57,lz4,6,152
2693,142000,67,None,9,412
2694,22503,44,None,10,356
2695,258974,95,gzip,4,467
2696,138639,84,gzip,3,125
2697,8379,47,None,6,378
2698,150008,35,None,2,383
2699,209795,96,lz4,8,218
2700,162202,47,None,4,135
2701,10286,51,None,9,146
2702,197592,35,None,9,452
2703,221806,24,gzip,2,253
2704,202005,5,gzip,5,484
2705,176628,73,lz4,5,208
2706,130048,97,gzip,9,482
2707,262034,89,None,6,48
2708,104844,2,None,3,440
2709,128826,94,gzip,3,340
2710,73765,29,None,9,141
2711,78247,91,gzip,8,296
2712,18606,4,None,7,483
2713,241596,77,lz4,6,214
2714,52069,80,snappy,1,186
2715,32243,7,lz4,7,459
2716,40438,85,lz4,4,116
2717,86803,40,None,3,490
2718,210921,81,None,8,339
2719,197820,16,None,7,282
2720,99618,28,None,6,246
2721,256463,50,None,5,341
2722,16425,100,lz4,7,183
2723,188303,22,gzip,2,151
2724,5071,99,lz4,10,376
2725,219295,91,gzip,7,77
2726,226112,48,snappy,1,187
2727,213693,85,None,7,411
2728,76899,51,snappy,6,491
2729,16057,22,gzip,4,277
2730,179726,56,gzip,6,361
2731,193738,56,snappy,1,307
2732,209359,3,gzip,9,416
2733,158384,86,lz4,10,137
2734,55819,29,None,7,202
2735,156243,29,gzip,3,353
2736,7501,73,None,2,394
2737,179608,100,snappy,5,235
2738,60374,88,snappy,9,497
2739,90784,82,gzip,5,383
2740,187534,77,gzip,9,93
2741,142407,86,snappy,4,170
2742,232682,24,gzip,7,483
2743,96501,99,lz4,7,375
2744,180119,39,snappy,1,431
2745,189760,89,lz4,6,56
2746,180493,65,snappy,8,38
2747,234016,52,snappy,4,430
2748,106651,13,snappy,7,345
2749,246020,77,None,9,212
2750,19042,55,gzip,2,307
2751,131194,55,None,9,31
2752,139544,6,snappy,2,307
2753,138411,73,gzip,7,155
2754,112759,79,lz4,1,413
2755,234436,81,gzip,5,134
2756,61527,27,lz4,4,20
2757,187291,24,gzip,3,31
2758,82907,12,snappy,8,147
2759,94351,50,snappy,1,329
2760,33914,24,lz4,9,195
